2023-06-22 12:16:47,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1333170|172.22.0.3|false
2023-06-22 12:16:47,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1333370|172.22.0.3|false
2023-06-22 12:16:47,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1333570|172.22.0.3|false
2023-06-22 12:16:47,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1333770|172.22.0.3|false
2023-06-22 12:16:48,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1333970|172.22.0.3|false
2023-06-22 12:16:48,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1334170|172.22.0.3|false
2023-06-22 12:16:48,478|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1334371|172.22.0.3|false
2023-06-22 12:16:48,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1334570|172.22.0.3|false
2023-06-22 12:16:48,878|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1334771|172.22.0.3|false
2023-06-22 12:16:49,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1334970|172.22.0.3|false
2023-06-22 12:16:49,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1335170|172.22.0.3|false
2023-06-22 12:16:49,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1335370|172.22.0.3|false
2023-06-22 12:16:49,736|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1335629|172.22.0.3|false
2023-06-22 12:16:49,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1335770|172.22.0.3|false
2023-06-22 12:16:50,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1335970|172.22.0.3|false
2023-06-22 12:16:50,278|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1336171|172.22.0.3|false
2023-06-22 12:16:50,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1336370|172.22.0.3|false
2023-06-22 12:16:50,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1336570|172.22.0.3|false
2023-06-22 12:16:50,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1336770|172.22.0.3|false
2023-06-22 12:16:51,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1336970|172.22.0.3|false
2023-06-22 12:16:51,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1337170|172.22.0.3|false
2023-06-22 12:16:51,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1337370|172.22.0.3|false
2023-06-22 12:16:51,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1337570|172.22.0.3|false
2023-06-22 12:16:51,877|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1337770|172.22.0.3|false
2023-06-22 12:16:52,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1337970|172.22.0.3|false
2023-06-22 12:16:52,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1338170|172.22.0.3|false
2023-06-22 12:16:52,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1338370|172.22.0.3|false
2023-06-22 12:16:52,677|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1338570|172.22.0.3|false
2023-06-22 12:16:52,876|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1338769|172.22.0.3|false
2023-06-22 12:16:53,077|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1338970|172.22.0.3|false
2023-06-22 12:16:53,277|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1339170|172.22.0.3|false
2023-06-22 12:16:53,477|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1339370|172.22.0.3|false
2023-06-22 12:16:53,676|eb2c125973d1|seataServer.properties|SEATA_GROUP|null|unknown|1687406074107|pull|ok|1339569|172.22.0.3|false
